Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1153,PAPEL DO ESTRESSE DE RETÍCULO ENDOPLASMÁTICO NA RETINOSE PIGMENTAR,"RAFAEL PEREIRA FERREIRA,BRUNO DE SOUZA GONÇALVES,LUCIANA BARRETO CHIARINI"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,4932,INVESTIGAÇÃO SOBRE O EFEITO DO ZIKA VÍRUS NO DESENVOLVIMENTO AXONAL DE NEURÔNIOS CORTICAIS IN VITRO,"JEFFERSON HENRIQUE QUINTANILHA RODRIGUES,RAISSA RILO CHRISTOFF,GABRIEL CAMPINHO,PAULA PEZZUTO,LUIZA HIGA,AMILCAR TANURI,PATRICIA PESTANA GARCEZ"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,857,EFEITOS DA 6-HIDROXIDOPAMINA EM MARCADORES FENOTÍPICOS DE CÉLULAS GLIAIS DO CARANGUEJO UCIDES CORDATUS,"RAFAELA ROCHA DOS SANTOS,CARLOS AUGUSTO BORGES DE ANDRADE GOMES,WAGNER ANTÔNIO BARBOSA DA SILVA,CLYNTON LOURENÇO CORREA,SILVANA ALLODI"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,4135,INTERAÇÃO ENTRE O SISTEMA DOPAMINÉRGICO E O SISTEMA ENDOCANABINOIDE EM LINHAGEM DE CÉLULAS PC12,"YOLANDA PAES COLLI,ANNA CAROLINA REGO COSTA,LUZIA DA SILVA SAMPAIO,FERNANDO GARCIA DE MELO,RICARDO AUGUSTO DE MELO REIS"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,814,SUPEREXPRESSÃO DE KLF4 REATIVA A COMPETÊNCIA DE GERAÇÃO DE CÉLULAS GANGLIONARES EM PROGENITORES RETINIANOS TARDIOS.,"VIVIANE VALENÇA,THAIS MARINHO,BEATRIZ CARDOSO DE TOLEDO,MAURÍCIO ROCHA MARTINS,MARIANA S SILVEIRA.,PEDRO LUCAS DOS SANTOS FRANÇA,MARIANA ANJO"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1463,INFECÇÕES SISTÊMICAS DURANTE O DESENVOLVIMENTO E A SUSCEPTIBILIDADE À DOENÇA DE ALZHEIMER,"INGRID DEL CASTILO DA SILVA,JULIA CLARKE,CLAUDIA FIGUEIREDO,PAULA FROST"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,60,REATIVIDADE EMOCIONAL CEREBRAL EM INDIVÍDUOS COM HANSENÍASE TRATADOS: UM ESTUDO DE NEUROIMAGEM E ESTIGMA SOCIAL,"TIAGO ARRUDA SANCHEZ,JULIANA RIZZO DUARTE DE CARVALHO,LUCAS REGO RAMOS,LEA MIRIAN BARBOSA DA FONSECA,MARIA KATIA GOMES,FELIPE REIS"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,1059,PADRÕES NEURAIS RELACIONADOS À IMAGINAÇÃO DE MOVIMENTO COM OS BRAÇOS PARA USO EM BCIS,"ANDRÉ DA SILVA,JULIANA GUIMARãES MARTINS SOARES"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,4205,ALTERAÇÕES COMPORTAMENTAIS E ESTRUTURAIS NO CÉREBRO DE CAMUNDONGOS APÓS LESÃO NEUROTÓXICA COM MPTP: UM MODELO ALTERNATIVO PARA A DOENÇA DE PARKINSON.,"AMANDA FERREIRA DE MOURA,JEAN CHRISTOPHE HOUZEL,MARIANA ACQUARONE"
Centro de Ciencias da Saude Apresentação de Vídeo. Educação e Sociedade + Criação e Dança | PEX.EXT.UNI.VID.106,736,TRANSPLANTE DE TECIDO ADIPOSO MARROM PREVINE DÉFICITS COGNITIVOS CAUSADOS PELA INJEÇÃO CENTRAL DE OLIGÔMEROS DO PEPTÍDEO Β-AMILOIDE (AΒOS),"SARA FARIAS DE OLIVEIRA,JÚLIA MARTINS DE DEUS,MILENA RIBEIRO PECLAT DE ARAÚJO,RUDIMAR LUIZ FROZZA,AMANDA SANTOS DE SOUZA,SERGIO T FERREIRA,ANDRESSA BERNARDI"
