Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,335,ANÁLISE DA TRAJETÓRIA ACADÊMICA DOS ESTUDANTES INGRESSANTES PELA AÇÃO AFIRMATIVA NOS CURSOS DE GRADUAÇÃO DO CCJE/UFRJ: DESAFIOS DA GESTÃO UNIVERSITÁRIA,"ANA LUCIA DA SILVA DO NASCIMENTO,SUZANA SILVA DE LIMA BRANCO,DAVI BARCELOS DOS SANTOS,ANTONIO JOSE BARBOSA OLIVEIRA,VITOR MARIO IORIO IORIO"
Centro de Ciencias Juridicas e Economicas,437,INCLUSÃO DA DIVERSIDADE NAS ORGANIZAÇÕES *,"RICARDO HENRY DIAS ROHM,JAILSON DE MOURA PEREIRA,JULIANA PAES COSTA DE OLIVEIRA"
Centro de Ciencias Juridicas e Economicas,3069,A CULTURA DO MANAGEMENT E O ENSINO EM ADMINISTRAÇÃO: IMPLICAÇÕES PARA FORMAÇÃO DOS FUTUROS GESTORES,"ANA CAROLINA PIMENTEL DUARTE DA FONSECA,MARCOS ANTONIO FERNANDES SOUSA JUNIOR,PRISCILLA JULIASSE DE FREITAS"
Centro de Ciencias Juridicas e Economicas,5197,FATORES DE PROPENSÃO À EVASÃO EM CURSO DE GRADUAÇÃO EM ADMINISTRAÇÃO,"ALEXANDER DOS REIS MOREIRA,MARIA DE FATIMA BRUNO DE FARIA"
Centro de Ciencias Juridicas e Economicas,588,DESENVOLVIMENTO DE COMPETÊNCIAS CULINÁRIAS NO AMBIENTE DIGITAL: O SITE TUDO GOSTOSO,"THAYNÁ FERNANDES ALVES RIBEIRO,ROBERTA DIAS CAMPOS,NILMA MORCERF DE PAULA"
Centro de Ciencias Juridicas e Economicas,1007,CONSUMIDORES E CRÉDITO: UM ESTUDO SOBRE O ENDIVIDAMENTO NO BRASIL,"GISELE ARAUJO DE LIMA,MARIBEL CARVALHO SUAREZ"
Centro de Ciencias Juridicas e Economicas,1258,"TURBANTE, QUEM PODE USAR?","TAMIRIS DA SILVA PENICHE NUNES,LETICIA MOREIRA CASOTTI,ANA RAQUEL COELHO ROCHA"
Centro de Ciencias Juridicas e Economicas,4309,O CONSUMO DO TURISMO NA TERCEIRA IDADE,"BEATRIZ LOPES SCHIRMER,LETICIA MOREIRA CASOTTI,RENATA GARANITO DE ABREU RODRIGUES"
Centro de Ciencias Juridicas e Economicas,5379,SATISFAÇÃO E LEALDADE DE CLIENTES A CLÍNICAS DE ESTÉTICA DO RIO DE JANEIRO,"ANA CAROLINA DE SOUSA MORAIS,MARIA DE FATIMA BRUNO DE FARIA"
Centro de Ciencias Juridicas e Economicas,5734,MARKETING E LOGÍSTICA EM INDICAÇÕES GEOGRÁFICAS: UM ESTUDO PRELIMINAR NO SEGMENTO VITIVINÍCOLA,"CAMILA AVOSANI ZAGO,BEATRIZ NASCIMENTO DOS SANTOS,ANTÔNIA ROUSSOULIÉRES GONÇALVES DA FONTE,ELIZABETH HATCHUEL,LUIZA CUNHA MUNER"
Centro de Ciencias Juridicas e Economicas,671,"EDUCAÇÃO, CIÊNCIA E TECNOLOGIA: AÇÕES PARA O PLANO BRASIL SEM MISÉRIA","CAIO GONDIM DE CARVALHO BRITTO,PIERRE OHAYON"
Centro de Ciencias Juridicas e Economicas,1082,INDICADORES DE DESEMPENHO NA GESTÃO DE TRANSPLANTES,"DAHRA MEDEIROS,KLEBER FIGUEIREDO"
Centro de Ciencias Juridicas e Economicas,1206,A INFLUÊNCIA DO ÍNDICE DE VOLATILIDADE NA DINÂMICA DO MERCADO ACIONÁRIO BRASILEIRO,"DIOGO LEMOS OLIVEIRA,PEDRO GIL ANTUNES ALCÂNTARA,VINICIUS MOTHÉ MAIA"
Centro de Ciencias Juridicas e Economicas,3982,FRONTEIRAS DETERMINÍSTICAS DE EFICIÊNCIA ECONÔMICA: UM ESTUDO SOBRE O IMPACTO DA GESTÃO DOS RECURSOS NO DESEMPENHO DE UNIDADES HOSPITALARES.,"CAROLINA BRANDÃO,KLEBER FIGUEIREDO"
Centro de Ciencias Juridicas e Economicas,4089,DESAFIOS COMPETITIVOS DA INDÚSTRIA DE AVIAÇÃO COMERCIAL: UM OLHAR LONGITUDINAL SOBRE O SETOR NOS EUA,"ROGÉRIO MOREIRA DA SILVA JUNIOR,DENISE FLECK"
Centro de Ciencias Juridicas e Economicas,4284,POLÍTICAS GOVERNAMENTAIS DE APOIO À INTERNACIONALIZAÇÃO DE EMPRESAS: O CASO DOS BRICS,"BRUNA MACHADO TARGINO,ARIANE CRISTINE RODER FIGUEIRA"
Centro de Ciencias Juridicas e Economicas,5648,INFLUÊNCIA DOS FILTROS NO COMPORTAMENTO INFORMACIONAL E NA COMPETÊNCIA EM INFORMAÇÃO,"JOÃO VICTOR MENDES SOUZA,PAULO CÉSAR DO PRADO,RENATO NUNES BITTENCOURT"
Centro de Ciencias Juridicas e Economicas,5662,MEDIDAS INTERNACIONAIS DE INOVAÇÃO NO SETOR PÚBLICO,"ISABELA SANT'ANA BITTENCOURT DA SILVA,THAINÁ FILGUEIRA MACEDO DE SOUZA,ARTHUR RAFAEL DIAS DOS SANTOS,MARIA DE FATIMA BRUNO DE FARIA"
Centro de Ciencias Juridicas e Economicas,5688,GORVERNANÇA NA GESTÃO DA CADEIA DE SUPRIMENTOS: UM ESTUDO EM VITIVINÍCOLAS BRASILEIRAS E ESPANHOLAS,"CAMILA AVOSANI ZAGO,ANTÔNIA ROUSSOULIÉRES GONÇALVES DA FONTE,GUADALUPE FUENTES LOMBARDO"
Centro de Ciencias Juridicas e Economicas,5709,O PLANEJAMENTO LOGÍSTICO HUMANITÁRIO COMO MEDIDA MITIGADORA DE DESASTRES NATURAIS,"CAMILA AVOSANI ZAGO,ARTHUR COSTA PONTES"
Centro de Ciencias Juridicas e Economicas,279,A APLICAÇÃO DA INTELIGÊNCIA EMOCIONAL NA GERÊNCIA DE PROJETOS: UMA REVISÃO SISTEMÁTICA,"LUANA SANTOS DUARTE,ANDRE BARCAUI,LUCAS CASAIS MACHADO GUIMARÃES"
Centro de Ciencias Juridicas e Economicas,426,CRITÉRIOS DE MEDIÇÃO DE SUCESSO EM GERÊNCIA DE PROJETOS,"ANDRÉ NASCIMENTO,DAVID NEWLANDS CAVALCANTE,ANDRE BARCAUI"
Centro de Ciencias Juridicas e Economicas,444,FATORES GERADORES DE CONFIANÇA NO TRABALHO DO GERENTE DE PROJETOS,"HUGO RENATO ARAUJO DOS SANTOS,FERNANDA FERNANDES,ANDRE BARCAUI"
Centro de Ciencias Juridicas e Economicas,644,APLICAÇÃO DA INTELIGÊNCIA EMOCIONAL NA GERÊNCIA DE PROJETOS: UMA ANÁLISE COMPARATIVA ENTRE A PERSEPÇÃO DO GERENTE E DA,"PARTICIPANTES : CéSAR BELUZO,MARIANA SOARES DE AZEVEDO,ANDRE BARCAUI"
Centro de Ciencias Juridicas e Economicas,5168,CRIATIVIDADE NAS ORGANIZAÇÕES: ANÁLISE DA PRODUÇÃO CIENTÍFICA NACIONAL DOS ÚLTIMOS DEZ ANOS,"ISABELA SANT'ANA BITTENCOURT DA SILVA,MARIA DE FATIMA BRUNO DE FARIA,GABRIEL ORSI TINOCO,RODRIGO LINS"
Centro de Ciencias Juridicas e Economicas,1835,TRANSFORMAÇÕES NA NATUREZA DO CONFLITO NO MUNDO CONTEMPORÂNEO.,"PEDRO HENRIQUE DO NASCIMENTO ALENCAR,DIOGO MONTEIRO DARIO"
Centro de Ciencias Juridicas e Economicas,3003,ASPECTOS DA ASCENSÃO EUROPÉIA E DECLÍNIO ASIÁTICO DURANTE O DESENVOLVIMENTO INDUSTRIAL: UMA PERSPECTIVA COMPARADA,"LUANA ANDRADE,ÉRIKA GUEDES DE SOUZA,PEDRO ROCHA FLEURY CURADO"
Centro de Ciencias Juridicas e Economicas,3455,MINUSTAH E O NEXO SEGURANÇA-DESENVOLVIMENTO: UMA RECONSTRUÇÃO DA INTERVENÇÃO INTERNACIONAL NO HAITI.,"RAPHAEL AUGUSTO SCHNEIDER,LUCAS BARRETO RODRIGUES,GILBERTO CARVALHO OLIVEIRA"
Centro de Ciencias Juridicas e Economicas,5729,"ETICIDADE DAS AÇÕES CÍVICO SOCIAIS (ACISO) E TECNOLOGIAS GRIN (GENÉTICA, ROBÓTICA, INFORMAÇÃO E NANOTECNOLOGIA): RELATÓRIO PARCIAL DE PESQUISA NETNOGRÁFICA","SANDRA MARIA BECKER TAVARES,MARIA EDUARDA BRANDãO MENDES PEDROSO DE LIMA,BÁRBARA NAVARRO MACHADO"
Centro de Ciencias Juridicas e Economicas,5468,RESPONSABILIDADE SOCIAL CORPORATIVA E A SUSTENTABILIDADE DE EMPREENDIMENTOS SOCIAIS,"ELIANE RIBEIRO PEREIRA,GONÇALO GUIMARÃES,JOSÉ ROBERTO MAFRA,LUCAS REDKO DE CARVALHO,ROMAN BERTOLDO,JOÃO BRUM,ROBERTO WESTENBERGER"
Centro de Ciencias Juridicas e Economicas,5559,CAMINHOS PARA A FORMALIZAÇÃO DE EMPREENDIMENTOS SOCIAIS,"JOSÉ ROBERTO MAFRA,ELIANE RIBEIRO PEREIRA,SÉRGIO LUIZ ARGOLO,ROBERTO WESTENBERGER,MARIA CECILIA CARVALHO CHAVES,CLARICE VITORIA RODRIGUES SILVA DE LIMA,LUIZA SILVA ROGATO DE MORAES,AGATA LIMA MARCELINO,REBECA DE CERQUEIRA DIONIZIO,RENZO AVACIL PIRES DE CARVALHO,FELIPE GURGEL DE ARAUJO,SANDRIELLE REGINA GOMES SANTOS,JONATHAS DA SILVA TOME,J"
Centro de Ciencias Juridicas e Economicas,5625,O ESTUDO DA LEGISLAÇÃO DE COOPERATIVAS POPULARES NO BRASIL COMO INSTRUMENTO DE AÇÃO,"JOSÉ ROBERTO MAFRA,LUCAS REDKO DE CARVALHO,RODRIGO TOLEDO DE JESUS,JOÃO BRUM,ELIANE RIBEIRO PEREIRA,ROBERTO WESTENBERGER,GONÇALO GUIMARÃES"
